author_key	death_year	qid	verification_source	verified_on	note
abu_cala_macarri	1058		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Cala Macarri; AH 449 -> CE 1058 (rounded up, conservative)
abu_catahiya	827		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Catahiya; AH 211 -> CE 827 (rounded up, conservative)
abu_dihbil_jumahi	683		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Dihbil Jumahi; AH 63 -> CE 683 (rounded up, conservative)
abu_fadl_mikali	1045		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Fadl Mikali; AH 436 -> CE 1045 (rounded up, conservative)
abu_firas_hamdani	968		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Firas Hamdani; AH 357 -> CE 968 (rounded up, conservative)
abu_hilal_caskari	1005		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Hilal Caskari; AH 395 -> CE 1005 (rounded up, conservative)
abu_huda_sayyadi	1911		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Huda Sayyadi; AH 1328 -> CE 1911 (rounded up, conservative)
abu_ishaq_ilbiri	1068		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Ishaq Ilbiri; AH 460 -> CE 1068 (rounded up, conservative)
abu_mansur_thacalibi	1038		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Mansur Thacalibi; AH 429 -> CE 1038 (rounded up, conservative)
abu_murshid_macarri	1099		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Murshid Macarri; AH 492 -> CE 1099 (rounded up, conservative)
abu_muslim_bahlani	1920		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Muslim Bahlani; AH 1338 -> CE 1920 (rounded up, conservative)
abu_nasr_bahili	846		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Nasr Bahili; AH 231 -> CE 846 (rounded up, conservative)
abu_nuwas_shacir	814		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Nuwas Shacir; AH 198 -> CE 814 (rounded up, conservative)
abu_qasim_amidi	981		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Qasim Amidi; AH 370 -> CE 981 (rounded up, conservative)
abu_shamaqmaq	797		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Shamaqmaq; AH 180 -> CE 797 (rounded up, conservative)
abu_shis	816		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Shis; AH 200 -> CE 816 (rounded up, conservative)
abu_talib_cabd_manaf	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Talib Cabd Manaf; AH 1 -> CE 623 (rounded up, conservative)
abu_tamam	846		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Tamam; AH 231 -> CE 846 (rounded up, conservative)
abu_zayd_qurashi	787		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Abu Zayd Qurashi; AH 170 -> CE 787 (rounded up, conservative)
ahmad_muharram	1945		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ahmad Muharram; AH 1364 -> CE 1945 (rounded up, conservative)
ahmad_shawqi	1933		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ahmad Shawqi; AH 1351 -> CE 1933 (rounded up, conservative)
ahwas_ansari	724		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ahwas Ansari; AH 105 -> CE 724 (rounded up, conservative)
akhtal_shacir	709		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Akhtal Shacir; AH 90 -> CE 709 (rounded up, conservative)
anonymous	1325		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Anonymous; AH 725 -> CE 1325 (rounded up, conservative)
aws_ibn_hajar	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Aws Ibn Hajar; AH 1 -> CE 623 (rounded up, conservative)
badic_zaman_hamadhani	1008		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Badic Zaman Hamadhani; AH 398 -> CE 1008 (rounded up, conservative)
baha_din_zuhayr	1259		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Baha Din Zuhayr; AH 656 -> CE 1259 (rounded up, conservative)
bashshar_ibn_burd_shacir	784		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Bashshar Ibn Burd Shacir; AH 167 -> CE 784 (rounded up, conservative)
buhturi	898		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Buhturi; AH 284 -> CE 898 (rounded up, conservative)
buraci_yamani_shacir	1427		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Buraci Yamani Shacir; AH 830 -> CE 1427 (rounded up, conservative)
cabbas_mahmud_caqqad	1964		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabbas Mahmud Caqqad; AH 1383 -> CE 1964 (rounded up, conservative)
cabd_allah_baraduni	2000		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Allah Baraduni; AH 1420 -> CE 2000 (rounded up, conservative)
cabd_caziz_fahmi	1951		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Caziz Fahmi; AH 1370 -> CE 1951 (rounded up, conservative)
cabd_caziz_maqalih	2029		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Caziz Maqalih; AH 1450 -> CE 2029 (rounded up, conservative)
cabd_ghaffar_akhras	1874		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Ghaffar Akhras; AH 1290 -> CE 1874 (rounded up, conservative)
cabd_ghani_nabulusi	1731		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Ghani Nabulusi; AH 1143 -> CE 1731 (rounded up, conservative)
cabd_qadir_jilani	1166		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Qadir Jilani; AH 561 -> CE 1166 (rounded up, conservative)
cabd_rahman_barquqi	1944		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Rahman Barquqi; AH 1363 -> CE 1944 (rounded up, conservative)
cabd_rahman_shukri	1958		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Rahman Shukri; AH 1377 -> CE 1958 (rounded up, conservative)
cabd_samad_ibn_mucadhdhal	855		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Samad Ibn Mucadhdhal; AH 240 -> CE 855 (rounded up, conservative)
cabd_wahhab_cazzam	1959		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cabd Wahhab Cazzam; AH 1378 -> CE 1959 (rounded up, conservative)
cadi_ibn_riqac	714		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cadi Ibn Riqac; AH 95 -> CE 714 (rounded up, conservative)
cali_ibn_abi_talib	661		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cali Ibn Abi Talib; AH 40 -> CE 661 (rounded up, conservative)
cali_ibn_muhammad_tihami	1026		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cali Ibn Muhammad Tihami; AH 416 -> CE 1026 (rounded up, conservative)
cali_jarim	1949		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cali Jarim; AH 1368 -> CE 1949 (rounded up, conservative)
cali_mahmud_taha	1949		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cali Mahmud Taha; AH 1368 -> CE 1949 (rounded up, conservative)
cali_nabhani_tanufi	1848		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cali Nabhani Tanufi; AH 1264 -> CE 1848 (rounded up, conservative)
calqama_fahl	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Calqama Fahl; AH 1 -> CE 623 (rounded up, conservative)
camir_ibn_tufayl	633		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Camir Ibn Tufayl; AH 11 -> CE 633 (rounded up, conservative)
camr_ibn_kulthum	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Camr Ibn Kulthum; AH 1 -> CE 623 (rounded up, conservative)
camr_ibn_malik	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Camr Ibn Malik; AH 1 -> CE 623 (rounded up, conservative)
camr_ibn_qumaya	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Camr Ibn Qumaya; AH 1 -> CE 623 (rounded up, conservative)
camr_zubaydi	642		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Camr Zubaydi; AH 21 -> CE 642 (rounded up, conservative)
cantara_ibn_shaddad	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cantara Ibn Shaddad; AH 1 -> CE 623 (rounded up, conservative)
carqala_kalbi	1172		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Carqala Kalbi; AH 567 -> CE 1172 (rounded up, conservative)
cimad_din_katib_isfahani	1201		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cimad Din Katib Isfahani; AH 597 -> CE 1201 (rounded up, conservative)
culayya_bint_mahdi	826		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Culayya Bint Mahdi; AH 210 -> CE 826 (rounded up, conservative)
cumar_khayyam	1122		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cumar Khayyam; AH 515 -> CE 1122 (rounded up, conservative)
cumara_ibn_caqil	854		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Cumara Ibn Caqil; AH 239 -> CE 854 (rounded up, conservative)
curwa_ibn_hizam	651		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Curwa Ibn Hizam; AH 30 -> CE 651 (rounded up, conservative)
curwa_ibn_udhayna	748		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Curwa Ibn Udhayna; AH 130 -> CE 748 (rounded up, conservative)
curwa_ibn_ward	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Curwa Ibn Ward; AH 1 -> CE 623 (rounded up, conservative)
dacwidar_qummi	1228		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Dacwidar Qummi; AH 625 -> CE 1228 (rounded up, conservative)
dhahabi	1348		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Dhahabi; AH 748 -> CE 1348 (rounded up, conservative)
dhu_rumma	736		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Dhu Rumma; AH 117 -> CE 736 (rounded up, conservative)
dicbil_khuzaci	861		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Dicbil Khuzaci; AH 246 -> CE 861 (rounded up, conservative)
dik_jinn	850		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Dik Jinn; AH 235 -> CE 850 (rounded up, conservative)
fadil_hindi	1725		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Fadil Hindi; AH 1137 -> CE 1725 (rounded up, conservative)
farazdaq	729		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Farazdaq; AH 110 -> CE 729 (rounded up, conservative)
fawzi_macluf	1930		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Fawzi Macluf; AH 1348 -> CE 1930 (rounded up, conservative)
habal_shacir	1669		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Habal Shacir; AH 1079 -> CE 1669 (rounded up, conservative)
hadira	627		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Hadira; AH 5 -> CE 627 (rounded up, conservative)
hajib_ibn_mudallil	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Hajib Ibn Mudallil; AH 1 -> CE 623 (rounded up, conservative)
hakam_ibn_abi_salt	1134		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Hakam Ibn Abi Salt; AH 528 -> CE 1134 (rounded up, conservative)
harith_ibn_hilliza	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Harith Ibn Hilliza; AH 1 -> CE 623 (rounded up, conservative)
hassan_ibn_thabit	674		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Hassan Ibn Thabit; AH 54 -> CE 674 (rounded up, conservative)
hatim_tai	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Hatim Tai; AH 1 -> CE 623 (rounded up, conservative)
haydar_ibn_sulayman_hilli	1887		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Haydar Ibn Sulayman Hilli; AH 1304 -> CE 1887 (rounded up, conservative)
ibn_abi_hasina	1065		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Abi Hasina; AH 457 -> CE 1065 (rounded up, conservative)
ibn_abi_rabica	712		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Abi Rabica; AH 93 -> CE 712 (rounded up, conservative)
ibn_ahmad_wahidi_naysaburi	1076		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Ahmad Wahidi Naysaburi; AH 468 -> CE 1076 (rounded up, conservative)
ibn_ahnaf	808		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Ahnaf; AH 192 -> CE 808 (rounded up, conservative)
ibn_bashir_khariji	748		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Bashir Khariji; AH 130 -> CE 748 (rounded up, conservative)
ibn_cabd_rabbih	940		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cabd Rabbih; AH 328 -> CE 940 (rounded up, conservative)
ibn_cabd_rahman_ghazzi	1754		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cabd Rahman Ghazzi; AH 1167 -> CE 1754 (rounded up, conservative)
ibn_cabd_rahman_isbahani	991		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cabd Rahman Isbahani; AH 380 -> CE 991 (rounded up, conservative)
ibn_cabd_zahir	1293		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cabd Zahir; AH 692 -> CE 1293 (rounded up, conservative)
ibn_cali_musawi_tustari	1760		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cali Musawi Tustari; AH 1173 -> CE 1760 (rounded up, conservative)
ibn_cali_tabrizi_shaybani	1109		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Cali Tabrizi Shaybani; AH 502 -> CE 1109 (rounded up, conservative)
ibn_carabi	1241		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Carabi; AH 638 -> CE 1241 (rounded up, conservative)
ibn_darraj_qastali	1031		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Darraj Qastali; AH 421 -> CE 1031 (rounded up, conservative)
ibn_dihya_jumayyil_kalbi	1236		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Dihya Jumayyil Kalbi; AH 633 -> CE 1236 (rounded up, conservative)
ibn_durayd_azdi	934		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Durayd Azdi; AH 321 -> CE 934 (rounded up, conservative)
ibn_haddad_qaysi	1088		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Haddad Qaysi; AH 480 -> CE 1088 (rounded up, conservative)
ibn_hajar_casqalani	1449		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hajar Casqalani; AH 852 -> CE 1449 (rounded up, conservative)
ibn_hamdis	1133		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hamdis; AH 527 -> CE 1133 (rounded up, conservative)
ibn_hani_andalusi	973		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hani Andalusi; AH 362 -> CE 973 (rounded up, conservative)
ibn_hasan_bakharzi	1075		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hasan Bakharzi; AH 467 -> CE 1075 (rounded up, conservative)
ibn_hayyus	1081		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hayyus; AH 473 -> CE 1081 (rounded up, conservative)
ibn_hazim_bahili	831		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Hazim Bahili; AH 215 -> CE 831 (rounded up, conservative)
ibn_ibrahim_farabi	962		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Ibrahim Farabi; AH 350 -> CE 962 (rounded up, conservative)
ibn_jabala_shacir	829		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Jabala Shacir; AH 213 -> CE 829 (rounded up, conservative)
ibn_jinni_mawsili	1002		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Jinni Mawsili; AH 392 -> CE 1002 (rounded up, conservative)
ibn_khafaja_shacir	1139		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Khafaja Shacir; AH 533 -> CE 1139 (rounded up, conservative)
ibn_khayyat_shacir	1124		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Khayyat Shacir; AH 517 -> CE 1124 (rounded up, conservative)
ibn_macsum	1708		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Macsum; AH 1119 -> CE 1708 (rounded up, conservative)
ibn_mactuq_shacir	1677		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Mactuq Shacir; AH 1087 -> CE 1677 (rounded up, conservative)
ibn_mubarak	798		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Mubarak; AH 181 -> CE 798 (rounded up, conservative)
ibn_mubarak_baghdadi	1201		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Mubarak Baghdadi; AH 597 -> CE 1201 (rounded up, conservative)
ibn_muctazz	909		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muctazz; AH 296 -> CE 909 (rounded up, conservative)
ibn_muhammad_batalyawsi	1128		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Batalyawsi; AH 521 -> CE 1128 (rounded up, conservative)
ibn_muhammad_busti	1010		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Busti; AH 400 -> CE 1010 (rounded up, conservative)
ibn_muhammad_ibn_haqan_ishbili	1134		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Ibn Haqan Ishbili; AH 528 -> CE 1134 (rounded up, conservative)
ibn_muhammad_marzuqi	1031		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Marzuqi; AH 421 -> CE 1031 (rounded up, conservative)
ibn_muhammad_najafi_qurashi	1882		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Najafi Qurashi; AH 1299 -> CE 1882 (rounded up, conservative)
ibn_muhammad_shimshati	988		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muhammad Shimshati; AH 377 -> CE 988 (rounded up, conservative)
ibn_munqidh_shayzari	1189		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Munqidh Shayzari; AH 584 -> CE 1189 (rounded up, conservative)
ibn_muqbil	658		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Muqbil; AH 37 -> CE 658 (rounded up, conservative)
ibn_mushrif_shacir	1869		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Mushrif Shacir; AH 1285 -> CE 1869 (rounded up, conservative)
ibn_nabih	1223		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Nabih; AH 619 -> CE 1223 (rounded up, conservative)
ibn_nasif_nasrani_yaziji	1907		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Nasif Nasrani Yaziji; AH 1324 -> CE 1907 (rounded up, conservative)
ibn_nubata_shacir	1367		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Nubata Shacir; AH 768 -> CE 1367 (rounded up, conservative)
ibn_qaysarani_shacir	1154		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Qaysarani Shacir; AH 548 -> CE 1154 (rounded up, conservative)
ibn_qurayb_asmaci	832		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Qurayb Asmaci; AH 216 -> CE 832 (rounded up, conservative)
ibn_qutayba_dinawari	890		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Qutayba Dinawari; AH 276 -> CE 890 (rounded up, conservative)
ibn_rashiq_qayrawani	1071		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Rashiq Qayrawani; AH 463 -> CE 1071 (rounded up, conservative)
ibn_rumi	897		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Rumi; AH 283 -> CE 897 (rounded up, conservative)
ibn_sahl_andalusi	1252		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Sahl Andalusi; AH 649 -> CE 1252 (rounded up, conservative)
ibn_shuhayd_ashjaci	1035		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Shuhayd Ashjaci; AH 426 -> CE 1035 (rounded up, conservative)
ibn_sida_mursi	1066		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Sida Mursi; AH 458 -> CE 1066 (rounded up, conservative)
ibn_sinan_khafaji	1074		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Sinan Khafaji; AH 466 -> CE 1074 (rounded up, conservative)
ibn_tabataba	934		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Tabataba; AH 322 -> CE 934 (rounded up, conservative)
ibn_yahya_thaclab	904		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Yahya Thaclab; AH 291 -> CE 904 (rounded up, conservative)
ibn_zaqqaq_balansi	1134		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Zaqqaq Balansi; AH 528 -> CE 1134 (rounded up, conservative)
ibn_zaydun	1071		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Zaydun; AH 463 -> CE 1071 (rounded up, conservative)
ibn_zumruq	1393		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibn Zumruq; AH 795 -> CE 1393 (rounded up, conservative)
ibrahim_cabd_qadir_mazini	1949		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Ibrahim Cabd Qadir Mazini; AH 1368 -> CE 1949 (rounded up, conservative)
imru_qays_ibn_hujr	623		dataset_field:OpenITI_metadata_2025-1-9	2026-08-09	OpenITI author_from_uri=Imru Qays Ibn Hujr; AH 1 -> CE 623 (rounded up, conservative)
